Code,type,interval,Es,Hs,th_mass,type_hs,type_cs,type_dhw,type_ctrl,win_wall,type_shade,U_wall,U_roof,U_base,U_win
SPORT2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.2,T1,1.5,1,1.2,2.9
SPORT3,construction,1970-1980,0.9,0.9,T2,T3,T3,T1,T1,0.2,T1,1.2,0.45,0.9,2.9
SPORT4,construction,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.2,T1,0.85,0.3,0.4,1.9
SPORT5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.2,T1,0.2,0.2,0.28,1.3
SPORT6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.2,T1,0.11,0.09,0.15,0.9
SPORT7,Renovation,1920,0.9,0.9,T3,T3,T3,T1,T1,0.2,T2,0.2,0.2,0.28,1.3
SPORT8,Renovation,1920-1970,0.9,0.9,T2,T3,T3,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
SPORT9,Renovation,1970-1980,0.9,0.9,T2,T3,T3,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
SPORT10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
SPORT11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.2,T1,0.2,0.2,0.28,1.3
SPORT12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.2,T1,0.15,0.15,0.2,0.9
SWIM1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.2,T2,1.5,1,1.2,2.9
SWIM2,construction,1920-1970,0.9,0.9,T2,T1,T0,T1,T1,0.2,T1,1.5,1,1.2,2.9
SWIM3,construction,1970-1980,0.9,0.9,T2,T1,T0,T1,T1,0.2,T1,1.2,0.45,0.9,2.9
SWIM4,construction,1980-2005,0.9,0.9,T3,T1,T0,T1,T1,0.2,T1,0.85,0.3,0.4,1.9
SWIM5,construction,2005-2020,0.9,0.9,T3,T4,T0,T1,T2,0.2,T1,0.2,0.2,0.28,1.3
SWIM6,construction,2020-2030,0.9,0.9,T3,T4,T0,T2,T3,0.2,T1,0.11,0.09,0.15,0.9
SWIM7,Renovation,1920,0.9,0.9,T3,T1,T0,T1,T1,0.2,T2,0.2,0.2,0.28,1.3
SWIM8,Renovation,1920-1970,0.9,0.9,T2,T1,T0,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
SWIM9,Renovation,1970-1980,0.9,0.9,T2,T1,T0,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
SWIM10,Renovation,1980-2005,0.9,0.9,T3,T1,T0,T1,T1,0.2,T1,0.2,0.2,0.28,1.3
SWIM11,Renovation,2005-2020,0.9,0.9,T3,T4,T0,T1,T2,0.2,T1,0.2,0.2,0.28,1.3
SWIM12,Renovation,2020-2030,0.9,0.9,T3,T4,T0,T2,T3,0.2,T1,0.15,0.15,0.2,0.9
SR1,construction,1920,1,1,T3,T0,T3,T1,T1,0.1,T2,1.5,1,1.2,2.9
SR2,construction,1920-1970,1,1,T2,T0,T3,T1,T1,0.1,T1,1.5,1,1.2,2.9
SR3,construction,1970-1980,1,1,T2,T0,T3,T1,T1,0.1,T1,1.2,0.45,0.9,2.9
SR4,construction,1980-2005,1,1,T3,T0,T3,T1,T1,0.1,T1,0.85,0.3,0.4,1.9
SR5,construction,2005-2020,1,1,T3,T0,T3,T1,T2,0.1,T1,0.2,0.2,0.28,1.3
SR6,construction,2020-2030,1,1,T3,T0,T2,T2,T3,0.1,T1,0.11,0.09,0.15,0.9
SR7,Renovation,1920,1,1,T3,T0,T3,T1,T1,0.1,T2,0.2,0.2,0.28,1.3
SR8,Renovation,1920-1970,1,1,T2,T0,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
SR9,Renovation,1970-1980,1,1,T2,T0,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
SR10,Renovation,1980-2005,1,1,T3,T0,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
SR11,Renovation,2005-2020,0.9,0.9,T3,T0,T3,T1,T2,0.1,T1,0.2,0.2,0.28,1.3
SR12,Renovation,2020-2030,0.9,0.9,T3,T0,T3,T2,T3,0.1,T1,0.15,0.15,0.2,0.9
ICE1,construction,1920,0.4,0.4,T3,T3,T3,T1,T1,0.1,T2,0,0,0,0
ICE2,construction,1920-1970,0.4,0.4,T2,T3,T3,T1,T1,0.1,T1,0,0,0,0
ICE3,construction,1970-1980,0.4,0.4,T2,T3,T3,T1,T1,0.1,T1,0,0,0,0
ICE4,construction,1980-2005,0.4,0.4,T3,T3,T3,T1,T1,0.1,T1,0.85,0.3,0.4,1.9
ICE5,construction,2005-2020,0.4,0.4,T3,T3,T3,T1,T2,0.1,T1,0.2,0.2,0.28,1.3
ICE6,construction,2020-2030,0.4,0.4,T3,T3,T3,T2,T3,0.1,T1,0.11,0.09,0.15,0.9
ICE7,Renovation,1920,0.4,0.4,T3,T3,T3,T1,T1,0.1,T2,0.2,0.2,0.28,1.3
ICE8,Renovation,1920-1970,0.4,0.4,T2,T3,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
ICE9,Renovation,1970-1980,0.4,0.4,T2,T3,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
ICE10,Renovation,1980-2005,0.4,0.4,T3,T3,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
ICE11,Renovation,2005-2020,0.4,0.4,T3,T3,T3,T1,T2,0.1,T1,0.2,0.2,0.28,1.3
ICE12,Renovation,2020-2030,0.4,0.4,T3,T3,T3,T2,T3,0.1,T1,0.15,0.15,0.2,0.9
DEPO1,construction,1920,0.9,0,T3,T0,T0,T0,T0,0.1,T2,1.5,1,1.2,2.9
DEPO2,construction,1920-1970,0.9,0,T2,T0,T0,T0,T0,0.1,T1,0.5,0.4,2,2.7
DEPO3,construction,1970-1980,0.9,0,T2,T0,T0,T0,T0,0.1,T1,0.5,0.4,1.79,3.1
DEPO4,construction,1980-2005,0.9,0,T3,T0,T0,T0,T0,0.1,T1,0.27,0.27,0.4,3.1
DEPO5,construction,2005-2020,0.9,0,T3,T0,T0,T0,T0,0.1,T1,0.2,0.2,0.28,1.3
DEPO6,construction,2020-2030,0.9,0,T3,T0,T0,T0,T0,0.1,T1,0.11,0.09,0.15,0.9
DEPO7,Renovation,1920,0.9,0,T3,T0,T0,T0,T0,0.1,T2,0.2,0.2,0.28,1.3
DEPO8,Renovation,1920-1970,0.9,0,T2,T0,T0,T0,T0,0.1,T1,0.2,0.2,0.28,1.3
DEPO9,Renovation,1970-1980,0.9,0,T2,T0,T0,T0,T0,0.1,T1,0.2,0.2,0.28,1.3
DEPO10,Renovation,1980-2005,0.9,0,T3,T0,T0,T0,T0,0.1,T1,0.2,0.2,0.28,1.3
DEPO11,Renovation,2005-2020,0.9,0,T3,T0,T0,T0,T0,0.1,T1,0.2,0.2,0.28,1.3
DEPO12,Renovation,2020-2030,0.9,0,T3,T0,T0,T0,T0,0.1,T1,0.15,0.15,0.2,0.9
CR1,construction,1920,0.9,0,T3,T0,T3,T1,T1,0.1,T2,1.5,1,1.2,2.9
CR2,construction,1920-1970,0.9,0,T2,T0,T3,T1,T1,0.1,T1,1.5,1,1.2,2.9
CR3,construction,1970-1980,0.9,0,T2,T0,T3,T1,T1,0.1,T1,1.2,0.45,0.9,2.9
CR4,construction,1980-2005,0.9,0,T3,T0,T3,T1,T1,0.1,T1,0.85,0.3,0.4,1.9
CR5,construction,2005-2020,0.9,0,T3,T0,T3,T1,T2,0.1,T1,0.2,0.2,0.28,1.3
CR6,construction,2020-2030,0.9,0,T3,T0,T3,T2,T3,0.1,T1,0.11,0.09,0.15,0.9
CR7,Renovation,1920,0.9,0,T3,T0,T3,T1,T1,0.1,T2,0.2,0.2,0.28,1.3
CR8,Renovation,1920-1970,0.9,0,T2,T0,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
CR9,Renovation,1970-1980,0.9,0,T2,T0,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
CR10,Renovation,1980-2005,0.9,0,T3,T0,T3,T1,T1,0.1,T1,0.2,0.2,0.28,1.3
CR11,Renovation,2005-2020,0.9,0,T3,T0,T3,T1,T2,0.1,T1,0.2,0.2,0.28,1.3
CR12,Renovation,2020-2030,0.9,0,T3,T0,T3,T2,T3,0.1,T1,0.15,0.15,0.2,0.9
