ID,UUID,name,name_KBOB,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
10.001,43B03F61-91A1-438E-B958-6E274F13B241,glass_wool,Glaswolle,91.173,"Entsorgung, Daemmstoff, mineralisch",20-100,kg,0.044,"SIA 279:2018, assumed",1960,1850,116,7.82,7.67,7.67,0,0.143,2.35,2.34,2.34,0,0.0107,5.46,5.33,5.33,0,0.133,1.1,1.04,0.0592,0
10.001.01,C2140A4D-E25B-4E13-BD72-87C1C5A37286,glass_wool_isover_phenolic_binder,"Glaswolle, Isover, phenolbasiertes Bindemittel",91.173,"Entsorgung, Daemmstoff, mineralisch",20-100,kg,0.033,SIA 279 -- Register Baustoffkennwerte ISOVER averaged,1830,1710,116,7.4,7.26,7.26,0,0.143,2.28,2.27,2.27,0,0.0107,5.13,4.99,4.99,0,0.133,1.03,0.97,0.0592,0
10.001.03,894290c5-7d1a-42b6-8b27-cfabcd6fa573,glass_wool_isover_plant_based_binder,"Glaswolle, Isover, pflanzliches Bindemittel",91.173,"Entsorgung, Daemmstoff, mineralisch",20-100,kg,0.033,SIA 279 -- Register Baustoffkennwerte ISOVER averaged,1700,1580,116,6.11,5.97,5.97,0,0.143,2.45,2.44,2.44,0,0.0107,3.66,3.53,3.53,0,0.133,0.89,0.831,0.0592,0
10.001.02,b0b693b6-0c93-49bc-ad75-0de3492042b8,glass_wool_supafil,"Glaswolle, SUPAFIL",91.173,"Entsorgung, Daemmstoff, mineralisch",35,kg,0.033,SIA 279 -- Register Baustoffkennwerte Supafil Max Frame,2060,1940,116,6.21,6.07,6.07,0,0.143,0.317,0.306,0.306,0,0.0107,5.89,5.76,5.76,0,0.133,1.14,1.08,0.0592,0
7.021,f346cb73-61fb-4468-b500-3bfc161d80a6,glued_laminated_beam,Balkenschichtholz,91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",790,716,73.8,10.2,10.1,4.86,5.19,0.0971,8.59,8.58,3.49,5.09,0.00615,1.56,1.47,1.37,0.097,0.091,0.342,0.293,0.0492,0.446
7.003,75F8C2B2-0B4E-4243-93D6-9D8B721B4D12,glued_laminated_timber,Brettschichtholz,91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",769,696,73.8,9.68,9.58,4.38,5.2,0.0971,8.14,8.14,3.07,5.06,0.00615,1.53,1.44,1.3,0.142,0.091,0.335,0.286,0.0492,0.446
7.002,1095B95F-6036-45CA-B450-7A3A8E1897BB,glued_laminated_timber_duplicate,Brettschichtholz,91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",769,696,73.8,9.68,9.58,4.38,5.2,0.0971,8.14,8.14,3.07,5.06,0.00615,1.53,1.44,1.3,0.142,0.091,0.335,0.286,0.0492,0.446
07.003.01,5D0AAC66-9661-4D7A-A239-8A8931B4CFF3,glued_laminated_timber_made_in_switzerland,"Brettschichtholz, Produktion Schweiz",91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",681,607,73.8,9.21,9.11,3.92,5.19,0.0971,8.01,8,2.9,5.1,0.00615,1.2,1.11,1.03,0.0844,0.091,0.253,0.204,0.0492,0.447
07.002.01,D6C6F539-93DD-4C07-AF40-3EF6321D4FBD,glued_laminated_timber_made_in_switzerland_duplicate,"Brettschichtholz, Produktion Schweiz",91.047,"Entsorgung, Brettschichtholz verleimt",439,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",681,607,73.8,9.21,9.11,3.92,5.19,0.0971,8.01,8,2.9,5.1,0.00615,1.2,1.11,1.03,0.0844,0.091,0.253,0.204,0.0492,0.447
4.017,BE39AA2B-67C3-4306-AD5D-5261E43D632D,gypsum_lime_plaster,Gips-Kalk-Putz,91.139,"Entsorgung, Moertel, Putze",925,kg,0.4,"SIA 279 -- Register Baustoffkennwerte, assumed from Gipsputz 1000 kg/m3",251,209,42.5,0.739,0.685,0.685,0,0.0545,0.0649,0.0629,0.0629,0,0.00208,0.674,0.622,0.622,0,0.0524,0.158,0.145,0.0127,0
