SCRIPT,LOCATOR_METHOD,FILE_NAME,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Sunday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,Weekday_4,TODO,TODO,TODO,TODO,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LAB,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:LIBRARY,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MULTI_RES,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MUSEUM,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:MUSEUM,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
