Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
812.465,2382.402,5.057,0,0,2.721,0,2.336,0,0,2387.459,0,1569.937,0,0,869.197,-869.197,0,18800.703,16413.244,0,0,0,0,0,0,0,0,0,0,0,12147.602,1547.995,0,12147.602,13695.597,12147.602,14045.333,0,359.994,1634.505,2367.911,3.400,36.568,0,0,0,0,0,0,0,0,0,0,51.828,62.335,10,60,0.109,0,0,0.065,0.000,0,0,0,0,1336.819,0,47.358,5,71,Radiative heating,,21.545,21.545,18.756,17.775,19.621,3.400,2.400,185.140,0
1624.930,4764.805,4.904,0,0,2.721,0,2.183,0,0,4769.708,0,3139.875,0,0,846.698,-845.132,0,19850.717,15081.009,0,0,0,0,0,0,0,0,0,0,0,11265.444,1415.164,0,11265.444,12680.608,11265.444,13005.380,0,339.175,1427.310,2075.628,3.100,36.135,0,0,0,0,0,0,0,0,0,0,50.167,59.895,10,60,0.109,0,0,0.061,0.000,0,0,0,0,1336.819,0,41.513,4,69,Radiative heating,,21.545,21.545,18.735,17.736,19.606,3.100,0.500,174.433,0
968.684,2893.462,3.120,0,0,2.721,0,0.399,0,0,2896.582,0,1924.778,0,0,854.332,-794.853,0,18927.947,16031.365,0,0,0,0,0,0,0,0,0,0,0,12235.311,1544.320,0,12235.311,13779.631,12235.311,14132.204,0,318.356,1302.666,1899.160,3.200,36.247,0,0,0,0,0,0,0,0,0,0,51.965,62.537,10,60,0.109,0,0,0.057,0.000,0,0,0,0,1336.819,0,37.983,4,68,Radiative heating,,21.545,21.545,18.692,17.682,19.576,3.200,0.900,163.726,0
1176.976,3574.874,3.095,0,0,2.721,0,0.375,0,0,3577.969,0,2397.898,0,0,906.867,-707.409,0,18929.711,15351.741,0,0,0,0,0,0,0,0,0,0,0,11778.663,1561.034,0,11778.663,13339.697,11778.663,13677.663,0,387.535,1145.001,1674.078,4.200,37.108,0,0,0,0,0,0,0,0,0,0,51.245,61.476,10,60,0.109,0,0,0.070,0.000,0,0,0,0,1336.819,0,33.482,5,69,Radiative heating,,21.545,21.545,18.696,17.668,19.579,4.200,0.800,199.304,0
1176.976,3574.874,3.099,0,0,2.721,0,0.378,0,0,3577.973,0,2397.898,0,0,970.858,-726.552,0,18815.034,15237.061,0,0,0,0,0,0,0,0,0,0,0,11598.818,1601.264,0,11598.818,13200.083,11598.818,13531.859,0,456.714,1168.948,1705.202,5.000,38.195,0,0,0,0,0,0,0,0,0,0,51.012,61.135,10,60,0.108,0,0,0.082,0.000,0,0,0,0,1336.819,0,34.104,6,67,Radiative heating,,21.545,21.545,18.710,17.674,19.589,5.000,1.100,234.882,0
1729.076,5105.511,3.091,0,0,2.721,0,0.370,0,0,5108.602,0,3376.435,0,0,1017.696,-900.058,0,19323.322,14214.720,0,0,0,0,0,0,0,0,0,0,0,10743.067,1530.979,0,10743.067,12274.045,10743.067,12580.696,0,456.714,1119.418,1634.024,5.600,38.986,0,0,0,0,0,0,0,0,0,0,49.478,58.889,10,60,0.108,0,0,0.082,0.000,0,0,0,0,1336.819,0,32.680,6,67,Radiative heating,,21.545,21.545,18.745,17.708,19.613,5.600,0.400,234.882,0
1624.930,4764.805,3.110,0,0,2.721,0,0.389,0,0,4767.915,0,3139.875,0,0,1032.335,-1020.516,0,19249.674,14481.759,0,0,0,0,0,0,0,0,0,0,0,10817.308,1558.319,0,10817.308,12375.628,10817.308,12684.195,0,408.354,1236.625,1797.565,5.800,39.263,0,0,0,0,0,0,0,0,0,0,49.646,59.134,10,60,0.108,0,0,0.073,0.000,0,0,0,0,1336.819,0,35.951,5,65,Radiative heating,,21.545,21.545,18.764,17.736,19.626,5.800,1.700,210.011,0
968.684,2893.462,3.109,0,0,2.721,0,0.388,0,0,2896.570,0,1924.778,0,0,1040.618,-1040.618,0,18310.255,15413.685,0,0,0,0,0,0,0,0,0,0,0,11607.980,1690.602,0,11607.980,13298.582,11607.980,13629.494,0,387.535,1227.552,1784.191,6.000,39.418,0,0,0,0,0,0,0,0,0,0,51.168,61.363,10,60,0.108,0,0,0.069,0.000,0,0,0,0,1336.819,0,35.684,5,64,Radiative heating,,21.545,21.545,18.764,17.744,19.626,6.000,2.200,199.304,0
1176.976,3574.874,3.063,0,0,2.721,0,0.342,0,0,3577.937,0,2397.898,0,0,1047.937,-1047.937,0,18177.633,14599.697,0,0,0,0,0,0,0,0,0,0,0,11239.480,1636.934,0,11239.480,12876.414,11239.480,13196.820,0,456.714,954.316,1402.876,6.000,39.538,0,0,0,0,0,0,0,0,0,0,50.475,60.347,10,60,0.108,0,0,0.081,0.000,0,0,0,0,1336.819,0,28.058,6,68,Radiative heating,,21.545,21.545,18.778,17.760,19.636,6.000,0.800,234.882,0
1176.976,3574.874,3.051,0,0,2.721,0,0.330,0,0,3577.925,0,2397.898,0,0,1018.984,-1018.984,0,18104.838,14526.913,0,0,0,0,0,0,0,0,0,0,0,11284.295,1608.109,0,11284.295,12892.403,11284.295,13214.503,0,456.714,888.276,1312.410,5.600,39.076,0,0,0,0,0,0,0,0,0,0,50.504,60.389,10,60,0.108,0,0,0.082,0.000,0,0,0,0,1336.819,0,26.248,6,71,Radiative heating,,21.545,21.545,18.778,17.765,19.636,5.600,1.600,234.882,0
1624.930,4764.805,3.022,0,0,2.721,0,0.301,0,0,4767.827,0,3139.875,0,0,985.709,-985.709,0,18553.687,13785.860,0,0,0,0,0,0,0,0,0,0,0,10870.024,1492.874,0,10870.024,12362.898,10870.024,12673.943,0,408.354,741.321,1111.918,4.900,38.524,0,0,0,0,0,0,0,0,0,0,49.629,59.110,10,60,0.108,0,0,0.073,0.000,0,0,0,0,1336.819,0,22.238,5,74,Radiative heating,,21.545,21.545,18.776,17.767,19.635,4.900,0.900,210.011,0
1572.857,4594.452,3.073,0,0,2.721,0,0.353,0,0,4597.525,0,3021.595,0,0,970.628,-970.628,0,18886.978,14289.452,0,0,0,0,0,0,0,0,0,0,0,10996.830,1487.167,0,10996.830,12483.997,10996.830,12799.030,0,429.173,1014.556,1490.423,4.600,38.270,0,0,0,0,0,0,0,0,0,0,49.833,59.407,10,60,0.109,0,0,0.077,0.000,0,0,0,0,1336.819,0,29.808,6,79,Radiative heating,,21.545,21.545,18.768,17.760,19.629,4.600,1.300,220.718,0
1572.857,4594.452,3.118,0,0,2.721,0,0.397,0,0,4597.570,0,3021.595,0,0,935.486,-935.486,0,19404.190,14806.621,0,0,0,0,0,0,0,0,0,0,0,11136.379,1475.911,0,11136.379,12612.290,11136.379,12931.827,0,359.994,1287.792,1874.793,4.200,37.670,0,0,0,0,0,0,0,0,0,0,50.048,59.721,10,60,0.109,0,0,0.065,0.000,0,0,0,0,1336.819,0,37.496,5,75,Radiative heating,,21.545,21.545,18.752,17.745,19.618,4.200,0.300,185.140,0
1572.857,4594.452,3.121,0,0,2.721,0,0.400,0,0,4597.572,0,3021.595,0,0,918.196,-918.196,0,19528.139,14930.567,0,0,0,0,0,0,0,0,0,0,0,11240.826,1467.733,0,11240.826,12708.559,11240.826,13031.493,0,359.994,1304.302,1899.074,3.900,37.362,0,0,0,0,0,0,0,0,0,0,50.209,59.957,10,60,0.109,0,0,0.065,0.000,0,0,0,0,1336.819,0,37.981,5,78,Radiative heating,,21.545,21.545,18.734,17.724,19.606,3.900,0.200,185.140,0
