thermal_loss_supply_kW,thermal_loss_return_kW,thermal_loss_total_kW
-0.08244781479438507,-0.07700431279385621,-0.1594521275882413
-0.08104473484715881,-0.07569386924329309,-0.1567386040904519
-0.08240831058259247,-0.07696741679239226,-0.15937572737498473
-0.08241318754231149,-0.07697197175764663,-0.1593851592999581
-0.08367204179128017,-0.07814771191128317,-0.16181975370256335
-0.0810300045464186,-0.07568011149170159,-0.15671011603812018
-0.08338976122763228,-0.07788406852788213,-0.1612738297555144
-0.08074824618426074,-0.07541695583197464,-0.15616520201623538
-0.08356381751996488,-0.07804663299623085,-0.16161045051619571
-0.08088181630792261,-0.07554170717448208,-0.15642352348240468
-0.0844012425072719,-0.07882876816669912,-0.16323001067397103
-0.08013536430188617,-0.07484453862164582,-0.15497990292353198
-0.08431132484008218,-0.07874478718796134,-0.16305611202804352
-0.0805999887807432,-0.07527848691731706,-0.15587847569806026
-0.08450683928807123,-0.07892739306761959,-0.16343423235569082
-0.08128831880610415,-0.07592067526127648,-0.15720899406738065
-0.08344261725159091,-0.07793272071916663,-0.16137533797075754
-0.0813159921441495,-0.07594652126894365,-0.15726251341309316
-0.08301792657173594,-0.07753607328348329,-0.16055399985521923
-0.08120642263433869,-0.07584418687062827,-0.15705060950496696
-0.08345565225067209,-0.07794489498933364,-0.16140054724000574
-0.08071499836451708,-0.07538521240784482,-0.1561002107723619
-0.08551094976039772,-0.07986447675854655,-0.16537542651894427
-0.08113746133424837,-0.0757797792337508,-0.15691724056799916
-0.08396696733928227,-0.07842244683693776,-0.16238941417622005
-0.08200560939568355,-0.07659060160073154,-0.15859621099641508
-0.08176405639797354,-0.07636499887076934,-0.15812905526874288
-0.08239615449915505,-0.07695535816568948,-0.15935151266484454
-0.08055278068117208,-0.0752337063089625,-0.1557864869901346
-0.08400064253598485,-0.07845389838635819,-0.16245454092234304
-0.08094974524031022,-0.07560445843993553,-0.15655420368024575
-0.08327069210195112,-0.07777214815981268,-0.1610428402617638
-0.08077228422696633,-0.07543871556086747,-0.15621099978783382
-0.08457396546277443,-0.07898936356067085,-0.16356332902344528
-0.08035880147875324,-0.07505253597292372,-0.15541133745167696
-0.08358408536317698,-0.07806484738550395,-0.16164893274868092
-0.08160329615983007,-0.07621485397865642,-0.1578181501384865
-0.08236155875574215,-0.07692304685450366,-0.15928460561024582
-0.08189406108893446,-0.07648641906984735,-0.1583804801587818
-0.08321460349671515,-0.07771976320573085,-0.16093436670244599
-0.0806889920682143,-0.0753609233630491,-0.1560499154312634
-0.08338601146576499,-0.07787985273617036,-0.16126586420193534
-0.08120668816295772,-0.07584443486509117,-0.15705112302804888
-0.08260083706095908,-0.0771465250951384,-0.15974736215609747
-0.08068223641159525,-0.0753553042630346,-0.15603754067462985
-0.08314999104859988,-0.07766012884056711,-0.160810119889167
-0.08228059920108385,-0.07684813737725806,-0.15912873657834192
-0.08328763405360413,-0.07778868415777133,-0.16107631821137547
-0.08245206614365483,-0.07700828345456594,-0.15946034959822075
-0.08273687944078373,-0.07727429235040376,-0.16001117179118748
-0.08148526277603868,-0.07610531193069826,-0.15759057470673693
-0.08341570869273146,-0.0779083028474474,-0.16132401154017886
-0.08081597875937244,-0.07548021645758546,-0.1562961952169579
-0.08393648207732879,-0.07839469289636763,-0.16233117497369642
-0.08137026125442368,-0.07599790322449203,-0.15736816447891572
-0.08226959846224605,-0.0768378629472281,-0.15910746140947413
-0.08269532071939573,-0.07723476979320767,-0.1599300905126034
