,Area,PV_kWh
511,109.98,0.00
512,109.98,0.00
513,109.98,0.00
514,109.98,0.00
515,109.98,0.00
516,109.98,0.00
517,109.98,0.00
518,109.98,0.00
519,109.98,0.00
520,109.98,0.00
521,109.98,0.00
522,109.98,0.00
523,109.98,0.00
524,109.98,0.00
525,109.98,0.00
526,109.98,0.00
527,109.98,0.00
528,109.98,0.00
529,109.98,0.00
530,109.98,0.00
531,109.98,0.00
532,109.98,0.00
533,109.98,0.00
534,109.98,0.00
535,109.98,0.00
536,109.98,0.00
537,109.98,0.00
538,109.98,0.78
539,109.98,1.30
540,109.98,1.69
541,109.98,1.69
542,109.98,1.19
543,109.98,0.28
544,109.98,0.00
545,109.98,0.00
546,109.98,0.00
547,109.98,0.00
548,109.98,0.00
549,109.98,0.00
550,109.98,0.00
551,109.98,0.00
552,109.98,0.00
553,109.98,0.00
554,109.98,0.00
555,109.98,0.00
556,109.98,0.00
557,109.98,0.00
558,109.98,0.00
559,109.98,0.00
560,109.98,0.00
561,109.98,3.07
562,109.98,5.65
563,109.98,5.52
564,109.98,6.19
565,109.98,4.97
566,109.98,3.08
567,109.98,2.37
568,109.98,1.32
569,109.98,0.00
570,109.98,0.00
571,109.98,0.00
572,109.98,0.00
573,109.98,0.00
574,109.98,0.00
575,109.98,0.00
576,109.98,0.00
577,109.98,0.00
578,109.98,0.00
579,109.98,0.00
580,109.98,0.00
581,109.98,0.00
582,109.98,0.00
583,109.98,0.00
584,109.98,0.00
585,109.98,0.00
586,109.98,2.67
587,109.98,4.84
588,109.98,2.82
589,109.98,2.33
590,109.98,1.94
591,109.98,0.79
592,109.98,0.00
593,109.98,0.00
594,109.98,0.00
595,109.98,0.00
596,109.98,0.00
597,109.98,0.00
598,109.98,0.00
599,109.98,0.00
600,109.98,0.00
601,109.98,0.00
602,109.98,0.00
603,109.98,0.00
604,109.98,0.00
605,109.98,0.00
606,109.98,0.00
607,109.98,0.00
608,109.98,0.00
609,109.98,2.33
610,109.98,2.98
611,109.98,4.10
612,109.98,3.13
613,109.98,2.85
614,109.98,2.13
615,109.98,2.24
616,109.98,2.40
617,109.98,0.00
618,109.98,0.00
619,109.98,0.00
620,109.98,0.00
621,109.98,0.00
622,109.98,0.00
623,109.98,0.00
624,109.98,0.00
625,109.98,0.00
626,109.98,0.00
627,109.98,0.00
628,109.98,0.00
629,109.98,0.00
630,109.98,0.00
631,109.98,0.00
632,109.98,0.00
633,109.98,0.00
634,109.98,0.00
635,109.98,0.83
636,109.98,0.83
637,109.98,0.83
638,109.98,0.28
639,109.98,0.00
640,109.98,0.00
641,109.98,0.00
642,109.98,0.00
643,109.98,0.00
644,109.98,0.00
645,109.98,0.00
646,109.98,0.00
647,109.98,0.00
648,109.98,0.00
649,109.98,0.00
650,109.98,0.00
651,109.98,0.00
652,109.98,0.00
653,109.98,0.00
654,109.98,0.00
655,109.98,0.00
656,109.98,0.00
657,109.98,3.08
658,109.98,3.83
659,109.98,5.19
660,109.98,4.91
661,109.98,6.32
662,109.98,4.83
663,109.98,3.25
664,109.98,1.50
665,109.98,0.00
666,109.98,0.00
667,109.98,0.00
668,109.98,0.00
669,109.98,0.00
670,109.98,0.00
671,109.98,0.00
672,109.98,0.00
673,109.98,0.00
674,109.98,0.00
675,109.98,0.00
676,109.98,0.00
677,109.98,0.00
678,109.98,0.00
679,109.98,0.00
680,109.98,0.00
681,109.98,0.00
682,109.98,0.00
683,109.98,0.00
684,109.98,0.00
685,109.98,3.94
686,109.98,3.12
687,109.98,2.02
688,109.98,0.76
689,109.98,0.00
690,109.98,0.00
691,109.98,0.00
692,109.98,0.00
693,109.98,0.00
694,109.98,0.00
695,109.98,0.00
696,109.98,0.00
697,109.98,0.00
698,109.98,0.00
699,109.98,0.00
700,109.98,0.00
701,109.98,0.00
702,109.98,0.00
703,109.98,0.00
704,109.98,0.00
705,109.98,0.00
706,109.98,0.00
707,109.98,0.00
708,109.98,0.00
709,109.98,1.71
710,109.98,1.76
711,109.98,1.52
712,109.98,1.14
713,109.98,0.00
714,109.98,0.00
715,109.98,0.00
716,109.98,0.00
717,109.98,0.00
718,109.98,0.00
719,109.98,0.00
720,109.98,0.00
721,109.98,0.00
722,109.98,0.00
723,109.98,0.00
724,109.98,0.00
725,109.98,0.00
726,109.98,0.00
727,109.98,0.00
728,109.98,0.00
729,109.98,0.00
730,109.98,0.94
731,109.98,1.53
732,109.98,1.55
733,109.98,1.59
734,109.98,1.39
735,109.98,1.05
736,109.98,0.00
737,109.98,0.00
738,109.98,0.00
739,109.98,0.00
740,109.98,0.00
741,109.98,0.00
742,109.98,0.00
743,109.98,0.00
744,109.98,0.00
745,109.98,0.00
746,109.98,0.00
747,109.98,0.00
748,109.98,0.00
749,109.98,0.00
750,109.98,0.00
751,109.98,0.00
752,109.98,0.00
753,109.98,0.00
754,109.98,1.08
755,109.98,1.72
756,109.98,3.07
757,109.98,2.08
758,109.98,1.23
759,109.98,1.03
760,109.98,0.03
761,109.98,0.00
762,109.98,0.00
763,109.98,0.00
764,109.98,0.00
765,109.98,0.00
766,109.98,0.00
767,109.98,0.00
