,FILE,FIELD,RMSE,ERROR
1583,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, AS_PeakVCC,0.0566530337, ok
1584,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, NG_Trigen,0.16, ok
1585,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, PV,0.06205, ok
1586,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, Storage,0.065, ok
1587,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, WS_BaseVCC,0.0171456026, ok
1588,cooling\outputs\data\optimization\slave\gen_2\generation_2_individuals.csv, WS_PeakVCC,0.2720205677, ok
1589,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Capex_a_sys_USD,3830946223.835816, ok
1590,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Capex_a_sys_building_scale_USD,92476.8809885, ok
1591,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Capex_a_sys_district_scale_USD,3861325243.8334618, ok
1592,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Capex_total_sys_USD,1300845942242.2832, ok
1593,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Capex_total_sys_building_scale_USD,18369498.715298016, ok
1594,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Capex_total_sys_district_scale_USD,1308320996872.2832, ok
1595,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, GHG_sys_building_scale_tonCO2,4.938665, ok
1596,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, GHG_sys_district_scale_tonCO2,7294.2651585, ok
1597,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, GHG_sys_tonCO2,7236.45234, ok
1598,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Opex_a_sys_USD,2071311137.3594275, ok
1599,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Opex_a_sys_building_scale_USD,1043994.9806345007, ok
1600,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, Opex_a_sys_district_scale_USD,2161252513.5995426, ok
1601,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, TAC_sys_USD,11039559007.35316, ok
1602,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, TAC_sys_building_scale_USD,1755642.8364610006, ok
1603,cooling\outputs\data\optimization\slave\gen_2\gen_2_total_performance_pareto.csv, TAC_sys_district_scale_USD,11282537915.832687, ok
1604,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_building_scale_performance.csv, Capex_a_cooling_building_scale_USD,104968.8721209997, ok
1606,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_building_scale_performance.csv, Capex_total_cooling_building_scale_USD,20850913.03839999, ok
1608,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_building_scale_performance.csv, GHG_cooling_building_scale_tonCO2,6.640929, ok
1610,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_building_scale_performance.csv, Opex_fixed_cooling_building_scale_USD,52127.2825959999, ok
1612,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_building_scale_performance.csv, Opex_var_cooling_building_scale_USD,878621.2731039999, ok
1615,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_a_BaseVCC_AS_district_scale_USD,0.635209, ok
1618,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_a_DailyStorage_WS_district_scale_USD,485.893849, ok
1620,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_a_PV_district_scale_USD,1558996.9656040045, ok
1621,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_a_PeakVCC_AS_district_scale_USD,53.056656, ok
1624,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_a_Trigen_NG_district_scale_USD,320879724.8294561, ok
1626,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_total_BaseVCC_AS_district_scale_USD,140.7307689975, ok
1629,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_total_DailyStorage_WS_district_scale_USD,79396.023529, ok
1631,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_total_PV_district_scale_USD,242122656.00468093, ok
1632,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_total_PeakVCC_AS_district_scale_USD,11742.5397689774, ok
1635,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Capex_total_Trigen_NG_district_scale_USD,52611627693.82901, ok
1637,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, GHG_GRID_exports_district_scale_tonCO2yr,244.234384, ok
1638,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, GHG_GRID_imports_district_scale_tonCO2yr,3379.213161, ok
1639,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, GHG_NG_district_scale_tonCO2yr,25070.922244, ok
1642,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_fixed_BaseVCC_AS_district_scale_USD,0.352836, ok
1645,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_fixed_DailyStorage_WS_district_scale_USD,7.941124, ok
1647,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_fixed_PV_district_scale_USD,24212.2936089999, ok
