SCRIPT,LOCATOR_METHOD,WORKSHEET,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR,FILE_NAME
archetypes-mapper,get_building_weekly_schedules,,mixed-schedule,TODO,TODO,TODO,float,black,inputs/building-properties/schedules/B001.csv
archetypes-mapper,get_building_supply,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/building-properties/supply_systems.dbf
archetypes-mapper,get_building_supply,,type_cs,Type of cooling supply system,[code],{T0...Tn},string,black,inputs/building-properties/supply_systems.dbf
archetypes-mapper,get_building_supply,,type_dhw,Type of hot water supply system,[code],{T0...Tn},string,black,inputs/building-properties/supply_systems.dbf
archetypes-mapper,get_building_supply,,type_el,Type of electrical supply system,[code],{T0...Tn},string,black,inputs/building-properties/supply_systems.dbf
archetypes-mapper,get_building_supply,,type_hs,Type of heating supply system,[code],{T0...Tn},string,black,inputs/building-properties/supply_systems.dbf
thermal-network,get_network_layout_edges_shapefile,,geometry,Geometry,[-],[-],[-],black,inputs/networks/dc/edges.shp
thermal-network,get_network_layout_edges_shapefile,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/networks/dc/edges.shp
thermal-network,get_network_layout_edges_shapefile,,Pipe_DN,Classifies nominal pipe diameters (DN) into typical bins. E.g. DN100 refers to pipes of approx. 100mm in diameter.,[DN#],alphanumeric,string,black,inputs/networks/dc/edges.shp
thermal-network,get_network_layout_edges_shapefile,,Type_mat,Material type,[-],{T0...Tn},string,black,inputs/networks/dc/edges.shp
network-layout,get_network_layout_nodes_shapefile,,Building,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/networks/dc/nodes.shp
network-layout,get_network_layout_nodes_shapefile,,geometry,Geometry,[-],[-],[-],black,inputs/networks/dc/nodes.shp
network-layout,get_network_layout_nodes_shapefile,,Name,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/networks/dc/nodes.shp
network-layout,get_network_layout_nodes_shapefile,,Type,Weather a Plant or A Customer,[-],alphanumeric,string,black,inputs/networks/dc/nodes.shp
-,get_street_network,,geometry,Geometry,[-],[-],[-],black,inputs/networks/streets.shp
-,get_street_network,,Id,Unique building ID. It must start with a letter.,[-],alphanumeric,string,black,inputs/networks/streets.shp
-,get_database_construction_standards,STANDARD_DEFINITION,Description,Description of the construction standard,[-],alphanumeric,string,black,inputs/technology/archetypes/construction_properties.xlsx:STANDARD_DEFINITION
-,get_database_construction_standards,STANDARD_DEFINITION,YEAR_END,Upper limit of year interval where the building properties apply,[yr],{0...n},int,black,inputs/technology/archetypes/construction_properties.xlsx:STANDARD_DEFINITION
-,get_database_construction_standards,STANDARD_DEFINITION,YEAR_START,Lower limit of year interval where the building properties apply,[yr],{0...n},int,black,inputs/technology/archetypes/construction_properties.xlsx:STANDARD_DEFINITION
-,get_database_construction_standards,STANDARD_DEFINITION,STANDARD, Unique ID of Construction Standard,[-],{code},string,black,inputs/technology/archetypes/construction_properties.xlsx:STANDARD_DEFINITION
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,Es,Fraction of gross floor area with electrical demands.,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,Hs_ag,Fraction of above ground gross floor area air-conditioned.,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,Hs_bg,Fraction of below ground gross floor area air-conditioned ,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,Ns,Fraction of net gross floor area.,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,STANDARD, Unique ID of Construction Standard,[-],{code},string,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_cons,Type of construction. It relates to the contents of the default database of Envelope Properties: construction,[code],{T1...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_leak,Tightness level. It relates to the contents of the default database of Envelope Properties: tightness,[code],{T1...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_roof,Roof construction type (relates to values in Default Database Construction Properties),[-],{T1...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_shade,Shading system type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_wall,External wall construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_part,Internal partitions construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_floor,Internal floor construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_base,Basement floor construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,type_win,Window type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,void_deck,Number of floors (from the ground up) with an open envelope (default = 0),[-],{0...n},integer,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,wwr_east,Window to wall ratio in in facades facing east,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,wwr_north,Window to wall ratio in in facades facing north,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,wwr_south,Window to wall ratio in in facades facing south,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,ENVELOPE_ASSEMBLIES,wwr_west,Window to wall ratio in in facades facing west,[m2/m2],{0.0...1},float,black,inputs/technology/archetypes/construction_properties.xlsx:ARCHITECTURE
-,get_database_construction_standards,HVAC_ASSEMBLIES,cool_ends,End of the cooling season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,cool_starts,Start of the cooling season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,heat_ends,End of the heating season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,heat_starts,Start of the heating season - use 00|00 when there is none,[DD|MM],{00|00...31|12},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,STANDARD, Unique ID of Construction Standard,[-],{code},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,type_cs,Type of cooling supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,type_ctrl,Type of heating and cooling control systems (relates to values in Default Database HVAC Properties),[code],{T1...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,type_dhw,Type of hot water supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,type_hs,Type of heating supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,HVAC_ASSEMBLIES,type_vent,Type of ventilation strategy (relates to values in Default Database HVAC Properties),[code],{T1...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:HVAC
-,get_database_construction_standards,SUPPLY_ASSEMBLIES,STANDARD, Unique ID of Construction Standard,[-],{code},string,black,inputs/technology/archetypes/construction_properties.xlsx:SUPPLY
-,get_database_construction_standards,SUPPLY_ASSEMBLIES,type_cs,Type of cooling supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:SUPPLY
-,get_database_construction_standards,SUPPLY_ASSEMBLIES,type_dhw,Type of hot water supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:SUPPLY
-,get_database_construction_standards,SUPPLY_ASSEMBLIES,type_el,Type of electrical supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:SUPPLY
-,get_database_construction_standards,SUPPLY_ASSEMBLIES,type_hs,Type of heating supply system,[code],{T0...Tn},string,black,inputs/technology/archetypes/construction_properties.xlsx:SUPPLY
-,get_database_standard_schedules_use,,CH-SIA-2014,metadata,[-],TODO,string,black,inputs/technology/archetypes/schedules/RESTAURANT.csv
-,get_database_standard_schedules_use,,METADATA,metadata,[-],TODO,string,black,inputs/technology/archetypes/schedules/RESTAURANT.csv
-,get_database_standard_schedules_use,,RESTAURANT,metadata,[-],TODO,string,black,inputs/technology/archetypes/schedules/RESTAURANT.csv
-,get_database_air_conditioning_systems,controller,code,Unique ID of the controller,[code],{T0...Tn},string,black,inputs/technology/systems/air_conditioning_systems.xls:controller
-,get_database_air_conditioning_systems,controller,Description,Describes the type of controller,[-],[-],string,black,inputs/technology/systems/air_conditioning_systems.xls:controller
-,get_database_air_conditioning_systems,controller,dT_Qcs,correction temperature of emission losses due to control system of cooling,[C],{0.0...n},float,black,inputs/technology/systems/air_conditioning_systems.xls:controller
-,get_database_air_conditioning_systems,controller,dT_Qhs,correction temperature of emission losses due to control system of heating,[C],{0.0...n},float,black,inputs/technology/systems/air_conditioning_systems.xls:controller
-,get_database_air_conditioning_systems,cooling,code,Unique ID of the heating system,[-],Those stored in Zone_occupancy,string,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
-,get_database_air_conditioning_systems,cooling,convection_cs,Convective part of the power of the heating system in relation to the total power,[-],{0.0...1},string,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
-,get_database_air_conditioning_systems,cooling,class_cs,Type or class of the cooling system,[-],alphanumeric,string,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
-,get_database_air_conditioning_systems,cooling,Description,Describes the type of cooling system,[-],[-],string,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
-,get_database_air_conditioning_systems,cooling,dTcs_C,Set-point correction for space emission systems,[C],{0.0...n},float,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
-,get_database_air_conditioning_systems,cooling,dTcs0_ahu_C,Nominal temperature increase on the water side of the air-handling units,[C],{0.0...n},float,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
-,get_database_air_conditioning_systems,cooling,dTcs0_aru_C,Nominal temperature increase on the water side of the air-recirculation units,[C],{0.0...n},float,black,inputs/technology/systems/air_conditioning_systems.xls:cooling
