building_name,zone_name,zone_adjacent_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_14a,zone10,zone11,surface_interior_16,interior_wall_gypsum,12.0,4
create_level_8_4b,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,30.96,6.45
create_level_8_4b,zone2,zone3,surface_interior_2,interior_wall_window_gypsum,20.016,4.17
create_level_8_4b,zone3,zone4,surface_interior_3,interior_wall_window_gypsum,30.96,6.45
create_level_8_5a,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,30.96,6.45
create_level_8_6a,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,30.96,6.45
create_level_8_6a,zone5,zone6,surface_interior_5,interior_wall_window_gypsum,30.96,6.45
create_level_8_7a,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,30.96,6.45
create_level_8_7a,zone5,zone6,surface_interior_5,interior_wall_window_gypsum,12.144,2.53
create_level_8_7a,zone5,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,6.45
create_level_8_7b,zone1,zone9,surface_interior_8,interior_wall_window_gypsum,30.96,6.45
create_level_8_8a,zone1,zone7,surface_interior_8,interior_wall_window_gypsum,30.96,6.45
create_level_8_8a,zone7,zone8,surface_interior_9,interior_wall_window_gypsum,30.96,6.45
create_level_8_9a,zone1,zone7,surface_interior_8,interior_wall_window_gypsum,30.96,6.45
create_level_8_9a,zone7,zone8,surface_interior_9,interior_wall_window_gypsum,12.144,2.53
create_level_8_9a,zone7,zone9,surface_interior_10,interior_wall_window_gypsum,30.96,6.45
create_level_8_9b,zone1,zone9,surface_interior_12,interior_wall_window_gypsum,30.96,6.45
create_level_8_10a,zone1,zone9,surface_interior_12,interior_wall_window_gypsum,30.96,6.45
create_level_8_10a,zone9,zone10,surface_interior_13,interior_wall_window_gypsum,30.96,6.45
create_level_8_11a,zone1,zone9,surface_interior_12,interior_wall_window_gypsum,30.96,6.45
create_level_8_11a,zone9,zone10,surface_interior_13,interior_wall_window_gypsum,30.96,6.45
create_level_8_11a,zone9,zone11,surface_interior_14,interior_wall_window_gypsum,30.96,6.45
create_level_8_11b,zone1,zone11,surface_interior_16,interior_wall_window_gypsum,30.96,6.45
create_level_8_12a,zone1,zone11,surface_interior_16,interior_wall_window_gypsum,30.96,6.45
create_level_8_12a,zone11,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level_8_12b,zone1,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level_8_13a,zone1,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level_8_13a,zone12,zone13,surface_interior_18,interior_wall_window_gypsum,30.96,6.45
create_level_8_14a,zone1,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level_8_14a,zone12,zone13,surface_interior_18,interior_wall_window_gypsum,12.144,2.53
create_level_8_14a,zone12,zone14,surface_interior_19,interior_wall_window_gypsum,30.96,6.45
