ID,UUID,name,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
5.003,43101D99-1D7B-4082-B62D-BF509227B57E,"Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm 3",91.044,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm",-,m2,,,"128,000","121,000","6,830",344,339,339,0,4.35,23.3,22.9,22.9,0,0.412,320,316,316,0,3.93,78.3,73.4,4.92,0
5.012,8C429A3C-65E9-423C-BB08-626C4639C97B,"Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm 3",91.11,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",-,m2,,,"110,000","102,000","7,680",271,267,267,0,4.44,16.5,16.1,16.1,0,0.417,255,251,251,0,4.02,67.8,62.1,5.7,0
5.013,D6D60F63-0AC6-4F65-A665-23893EFE55EE,"Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K 3",91.11,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",-,m2,,,"143,000","135,000","7,680",387,382,382,0,4.44,33.5,33.1,33.1,0,0.417,353,349,349,0,4.02,83.3,77.6,5.7,0
5.014,9D1F01AD-FA63-4F98-AFF3-157F4000D8B3,"Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K 3",91.11,"Entsorgung, Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm",-,m2,,,159000,151000,7680,444,440,440,0,4.44,41.9,41.5,41.5,0,0.417,402,398,398,0,4.02,91.1,85.4,5.7,0
5.015,14DFC8C9-C915-43A2-AE52-7B78F5948269,"Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K 3",91.113,"Entsorgung, Isolierverglasung 3-fach, Float/ESG/VSG, Ug-Wert 0.6 W/m2K",-,m2,,,168000,156000,11500,439,433,433,0,6.05,27.5,27,27,0,0.564,412,406,406,0,5.48,103,94,8.78,0
5.016,C17242EF-5C5D-430E-A900-4449A1BC8082,"Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K 3",91.113,"Entsorgung, Isolierverglasung 3-fach, Float/ESG/VSG, Ug-Wert 0.6 W/m2K",-,m2,,,185000,174000,11500,501,495,495,0,6.05,36.3,35.7,35.7,0,0.564,464,459,459,0,5.48,111,103,8.78,0
5.02,8A64F51B-96D1-418F-8698-65A2DFC2F6E0,Putztraegerplatte kunstharzgebunden 13 mm,91.116,"Entsorgung, Putztraegerplatte kunstharzgebunden",6.3,m2,,,16600,16400,268,47.9,47.5,47.5,0,0.345,3.61,3.6,3.6,0,0.0139,44.3,44,44,0,0.331,8.11,8.03,0.0799,0
5.021,A2E56139-B17E-48D2-AA28-1FBBBDE730B0,Putztraegerplatte mineralisch gebunden 12.5 mm,91.117,"Entsorgung, Putztraegerplatte mineralisch gebunden",14.4,m2,,,"9,910","9,300",612,21.5,20.7,20.7,0,0.789,2.44,2.41,2.41,0,0.0318,19.1,18.3,18.3,0,0.757,6.31,6.12,0.183,0
5.026,bbb96c85-8f12-4104-b774-2203f3d542e6,"Rahmenverbreiterung, PVC",91.17,"Entsorgung, Rahmenverbreiterung, PVC",15,m2,,,"99,700","66,500","33,300",348,335,239,95.5,13.5,42,41,33.1,7.87,1.06,306,294,206,87.6,12.5,69.7,39.5,30.1,0.778
5.027,9430b1e1-54b2-4105-8516-8c4ae46612d8,"Rahmenverbreiterung, Spanplatte",91.171,"Entsorgung, Rahmenverbreiterung, Spanplatte",17.8,m2,,,"43,500","35,900",7590,219,215,127,87.9,3.65,94.5,94.4,35.2,59.2,0.123,124,121,91.9,28.8,3.52,26.1,19.5,6.59,6.68
5.018,E236578E-CD94-4A5B-8102-258340AD9D3E,"Sonnenschutz, Ausstellstoren motorisiert 4",91.104,"Entsorgung, Sonnenschutz, Ausstellstoren motorisiert",-,m2,,,"150,000","148,000",2110,319,318,314,4.13,0.571,35.9,35.9,35.9,0,0.0296,283,282,278,4.13,0.542,67.8,65.9,1.91,0
5.017,9E4B8BDA-989A-484D-BFB1-E6CB90491CC4,"Sonnenschutz, Lamellenstoren motorisiert 4",91.115,"Entsorgung, Sonnenschutz, Lamellenstoren motorisiert",-,m2,,,"133,000","131,000",1620,281,281,281,0,0.459,32.3,32.2,32.2,0,0.0259,249,248,248,0,0.434,59.9,58.5,1.47,0
5.019,D69BFDA2-373D-4794-BF31-42FAD621E4FB,"Sonnenschutz, Rollladen motorisiert 4",91.118,"Entsorgung, Sonnenschutz, Rollladen motorisiert",-,m2,,,"168,000","167,000",800,358,357,357,0,0.428,44.3,44.3,44.3,0,0.022,313,313,313,0,0.406,74.7,74,0.694,0
6.001,122994E0-6AE3-48F8-97C2-633125609F3E,"Aluminiumblech, blank",91.141,"Entsorgung, Nichteisenmetalle","2,690",kg,160000,"SIA 279 -- Register Baustoffkennwerte, assumed from Aluminiumlegierungen","12,500","12,500",19.8,30,30,30,0,0.0322,5.23,5.23,5.23,0,0.000788,24.8,24.8,24.8,0,0.0314,5.58,5.57,0.00792,0
6.002,9D19FB5F-33F0-44B4-9489-B6E224103955,"Aluminiumprofil, blank",91.141,"Entsorgung, Nichteisenmetalle","2,690",kg,160000,"SIA 279 -- Register Baustoffkennwerte, assumed from Aluminiumlegierungen",11500,11400,19.8,30.9,30.8,30.8,0,0.0322,5.27,5.26,5.26,0,0.000788,25.6,25.6,25.6,0,0.0314,5.7,5.69,0.00792,0
06.002.01,C956DDE7-29FC-4FE5-A965-177615E14D14,"Aluminiumprofil blank, WICONA, hergestellt mit Hydro CIRCAL 75R",91.141,"Entsorgung, Nichteisenmetalle","2,690",kg,160000,"SIA 279 -- Register Baustoffkennwerte, assumed from Aluminiumlegierungen","12,700","12,700",19.8,13.1,13.1,13.1,0,0.0322,4.26,4.26,4.26,0,0.000788,8.88,8.85,8.85,0,0.0314,2.67,2.66,0.00792,0
6.003,1F33844F-91D2-4363-B328-904E15110A1C,Armierungsstahl,91.142,"Entsorgung, Armierungsstahl","7,850",kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl","1,590","1,570",19.5,3.8,3.75,3.75,0,0.0526,0.362,0.36,0.36,0,0.00202,3.44,3.39,3.39,0,0.0505,0.785,0.773,0.0122,0
06.003.01,9d912763-4033-4f7a-8a17-8c9c19bd8190,"Armierungsstahl, Stahl Gerlafingen",91.142,"Entsorgung, Armierungsstahl","7,850",kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl","1,110","1,090",19.5,3.05,3,3,0,0.0525,0.393,0.391,0.391,0,0.00202,2.66,2.61,2.61,0,0.0505,0.482,0.47,0.0122,0
6.014,1483FF58-F07C-4ED4-A422-3E72A667D1A7,Blei,91.141,"Entsorgung, Nichteisenmetalle","11,340",kg,35000,SIA 279 -- Register Baustoffkennwerte,"3,810","3,790",19.8,4.08,4.05,4.05,0,0.0322,0.248,0.247,0.247,0,0.000788,3.84,3.81,3.81,0,0.0314,1.02,1.01,0.00792,0
6.004,0FE00428-0CF6-4CC1-A4B1-BA186F56D57E,Chromnickelstahlblech 18/8 blank,91.143,"Entsorgung, Stahl","7,900",kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch","9,710","9,690",11.1,17,17,17,0,0.0278,2.41,2.41,2.41,0,0.000582,14.6,14.5,14.5,0,0.0272,4.12,4.11,0.00693,0
6.005,7AD1957E-FC33-43A8-88F8-2A4DD83A362A,Chromnickelstahlblech 18/8 verzinnt,91.143,"Entsorgung, Stahl","7,900",kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch","13,000","13,000",11.1,25,24.9,24.9,0,0.0278,2.69,2.69,2.69,0,0.000582,22.3,22.2,22.2,0,0.0272,5.88,5.87,0.00693,0
6.006,75CC3E80-7E5F-4E12-898A-03966A87E3E6,Chromstahlblech blank,91.143,"Entsorgung, Stahl","7,700",kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch","7,080","7,070",11.1,9.52,9.49,9.49,0,0.0278,0.981,0.98,0.98,0,0.000582,8.53,8.51,8.51,0,0.0272,2.74,2.73,0.00693,0
6.007,4594A8BF-8167-4183-9A45-CB64DF6D95B8,Chromstahlblech verzinnt,91.143,"Entsorgung, Stahl","7,700",kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch","10,400","10,400",11.1,17.5,17.5,17.5,0,0.0278,1.25,1.25,1.25,0,0.000582,16.2,16.2,16.2,0,0.0272,4.49,4.48,0.00693,0
6.008,92E11D9B-9BC5-4032-BB06-2082CE3D8AFD,"Kupferblech, blank",91.141,"Entsorgung, Nichteisenmetalle","8,900",kg,380000,SIA 279 -- Register Baustoffkennwerte,"24,500","24,500",19.8,10.5,10.5,10.5,0,0.0322,1.64,1.64,1.64,0,0.000788,8.9,8.87,8.87,0,0.0314,2.2,2.2,0.00792,0
6.009,EB9E1E6E-6F40-4CB7-B373-5D66FD146CF5,Messing-/Baubronzeblech,91.141,"Entsorgung, Nichteisenmetalle","8,300",kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl","25,500","25,400",19.8,13,12.9,12.9,0,0.0322,1.9,1.89,1.89,0,0.000788,11.1,11,11,0,0.0314,2.71,2.7,0.00792,0
6.01,38C1572A-3CE8-47C0-B24E-5E924A8AD97E,"Stahlblech, blank",91.143,"Entsorgung, Stahl","7,850",kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl","5,260","5,250",11.1,8.43,8.4,8.4,0,0.0278,0.628,0.628,0.628,0,0.000582,7.8,7.77,7.77,0,0.0272,2.8,2.79,0.00693,0
6.011,68F8D468-2A49-430A-A94A-A3073A85B029,"Stahlblech, verzinkt",91.143,"Entsorgung, Stahl",7850,kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl","15,200",15200,11.1,17,17,17,0,0.0278,1.4,1.4,1.4,0,0.000582,15.6,15.6,15.6,0,0.0272,4.49,4.48,0.00693,0
