,Q_DH_networkload,Q_aux_ch,Q_aux_dech,Q_from_storage_used,Q_missing,Q_storage_content_Wh,Q_to_storage,Solar_Q_th_W,mdot_DH_fin
7794,1009705.0,0.0,0.0,0.0,1009705.0,0.0,0.0,0.0,27.866826883539034
7795,1031527.0,0.0,0.0,0.0,1031527.0,0.0,0.0,0.0,27.866826883539034
7796,1039254.0,0.0,0.0,0.0,1039254.0,0.0,0.0,0.0,27.866826883539034
7797,395403.0,0.0,0.0,0.0,395403.0,0.0,0.0,0.0,17.577665791674267
7798,248811.0,0.0,0.0,0.0,248811.0,0.0,0.0,0.0,16.630535938610112
7799,241455.0,0.0,0.0,0.0,241455.0,0.0,0.0,0.0,16.630535938610112
7800,146117.0,0.0,0.0,0.0,146117.0,0.0,0.0,0.0,16.31482598758873
7801,219221.0,0.0,0.0,0.0,219221.0,0.0,0.0,0.0,16.31482598758873
7802,235725.0,0.0,0.0,0.0,235725.0,0.0,0.0,0.0,16.31482598758873
7803,245063.0,0.0,0.0,0.0,245063.0,0.0,0.0,0.0,16.31482598758873
7804,247990.0,0.0,0.0,0.0,247990.0,0.0,0.0,0.0,16.31482598758873
7805,508795.0,0.0,0.0,0.0,508795.0,0.0,0.0,0.0,17.665588482165862
7806,1525056.0,0.0,0.0,0.0,1525056.0,0.0,0.0,0.0,27.954749574030643
7807,6496854.0,0.0,0.0,0.0,6496854.0,0.0,0.0,0.0,73.2691179699338
7808,6666065.0,0.0,0.0,0.0,6666065.0,0.0,0.0,0.0,75.69596798785281
7809,6490708.0,0.0,0.0,0.0,6490708.0,0.0,0.0,0.0,70.24310227980058
7810,6837870.0,0.0,0.0,0.0,6837870.0,0.0,0.0,0.0,80.06250758885626
7811,6750348.0,0.0,0.0,0.0,6750348.0,0.0,0.0,0.0,84.19191998377859
7812,6539968.0,0.0,0.0,0.0,6539968.0,0.0,0.0,0.0,70.87452218184335
7813,6380604.0,0.0,0.0,0.0,6380604.0,0.0,0.0,0.0,65.96602664273276
7814,6020441.0,0.0,0.0,0.0,6020441.0,0.0,0.0,0.0,62.023114744512704
7815,5562613.0,0.0,0.0,0.0,5562613.0,0.0,0.0,0.0,57.30397417776912
7816,5616632.0,0.0,0.0,0.0,5616632.0,0.0,0.0,0.0,56.72343192978265
7817,5334953.0,0.0,0.0,0.0,5334953.0,0.0,0.0,0.0,54.640863359719326
7818,1011181.0,0.0,0.0,0.0,1011181.0,0.0,0.0,0.0,21.60760516570365
7819,1025221.0,0.0,0.0,0.0,1025221.0,0.0,0.0,0.0,22.5547350187678
7820,1047518.0,0.0,0.0,0.0,1047518.0,0.0,0.0,0.0,22.5547350187678
7821,402707.0,0.0,0.0,0.0,402707.0,0.0,0.0,0.0,17.577665791674267
7822,234361.0,0.0,0.0,0.0,234361.0,0.0,0.0,0.0,16.630535938610112
7823,238430.0,0.0,0.0,0.0,238430.0,0.0,0.0,0.0,16.630535938610112
7824,150164.0,0.0,0.0,0.0,150164.0,0.0,0.0,0.0,16.31482598758873
7825,160457.0,0.0,0.0,0.0,160457.0,0.0,0.0,0.0,16.31482598758873
7826,182083.0,0.0,0.0,0.0,182083.0,0.0,0.0,0.0,16.31482598758873
7827,194011.0,0.0,0.0,0.0,194011.0,0.0,0.0,0.0,16.31482598758873
7828,199596.0,0.0,0.0,0.0,199596.0,0.0,0.0,0.0,16.31482598758873
7829,449359.00000000006,0.0,0.0,0.0,449359.00000000006,0.0,0.0,0.0,17.665588482165862
7830,1442796.0,0.0,0.0,0.0,1442796.0,0.0,0.0,0.0,27.954749574030643
