ID,UUID,name,ID_recycling,recycling_method,density,unit,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product,,
01.002.17,6366a0bd-c8a2-49bf-a328-25786d6b1b76,"Hochbaubeton, Q-B265-M10 D E25, 200 kg CEM II/B, 40kg CEM I (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,344",kg,156,121,35.2,0.227,0.174,0.174,0,0.0532,0.0147,0.0128,0.0128,0,0.00191,0.212,0.161,0.161,0,0.0513,0.103,0.0905,0.0126,0,"Béton pour bâtiment, Q-B265-M10 D E25, 200 kg CEM II/B, 40kg CEM I (sans armature)","Élimination, béton"
01.002.18,c323cb03-0325-4d2a-aeb4-d3918c01044b,"Hochbaubeton, Q-C365-M D, 220 kg CEM II/B, 40kg CEM I (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,334",kg,163,127,35.2,0.232,0.179,0.179,0,0.0532,0.0153,0.0134,0.0134,0,0.00191,0.217,0.166,0.166,0,0.0513,0.107,0.0947,0.0126,0,"Béton pour bâtiment, Q-C365-M D, 220 kg CEM II/B, 40kg CEM I (sans armature)","Élimination, béton"
01.003,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,Tiefbaubeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,350",kg,163,128,35.1,0.205,0.152,0.152,0,0.0532,0.016,0.0141,0.0141,0,0.0019,0.189,0.138,0.138,0,0.0513,0.109,0.0963,0.0125,0,Béton pour travaux de génie civil (sans armature),"Élimination, béton"
01.004,4EBAA5FE-7F18-443E-A05A-08185A6165D0,Bohrpfahlbeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,325",kg,174,139,35.1,0.214,0.161,0.161,0,0.0531,0.0172,0.0153,0.0153,0,0.0019,0.197,0.146,0.146,0,0.0512,0.119,0.107,0.0125,0,Béton pour pieux (sans armature),"Élimination, béton"
01.041,3A51918F-AB60-4CE7-A771-A10C3266684A,"Betonfertigteil, hochfester Beton, ab Werk",91.061,"Entsorgung, Beton","2,770",kg,440,409,31,0.773,0.726,0.726,0,0.047,0.0758,0.0741,0.0741,0,0.00168,0.697,0.652,0.652,0,0.0453,0.276,0.265,0.0111,0,"Élément préfabriqué en béton, béton à hautes performances, sortie d'usine","Élimination, béton"
01.042,F6DCDEFA-AFE6-44CB-8B68-3527ABFDC011,"Betonfertigteil, Normalbeton, ab Werk",91.061,"Entsorgung, Beton","2,500",kg,282,248,33.9,0.527,0.476,0.476,0,0.0514,0.0948,0.093,0.093,0,0.00184,0.432,0.383,0.383,0,0.0495,0.177,0.165,0.0121,0,"Élément préfabriqué en béton, béton normal, sortie d'usine","Élimination, béton"
01.043,DD16B81F-E498-48D6-9754-A1E95558BFFE,Hanfbeton,91.073,"Entsorgungsmix, Hanfbeton",600,kg,665,663,1.69,1.86,1.86,1.02,0.839,0.000312,0.899,0.899,0.0606,0.839,0.000016,0.959,0.959,0.959,0,0.000296,0.324,0.324,0.0000732,0.0649,Béton chaux-chanvre,"Élimination, béton chaux-chanvre"
01.043.01,b05c4b9b-b749-4f50-a92b-98713a494220,"Hanfbeton, ARBIO",91.073,"Entsorgungsmix, Hanfbeton",600,kg,639,638,1.69,1.79,1.79,0.948,0.839,0.000312,0.865,0.865,0.026,0.839,0.000016,0.922,0.922,0.922,0,0.000296,0.312,0.312,0.0000732,0.0649,"Béton chaux-chanvre, ARBIO","Élimination, béton chaux-chanvre"
02.001,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,Backstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",900,kg,371,328,42.5,0.867,0.813,0.813,0,0.0548,0.0806,0.0783,0.0783,0,0.00221,0.787,0.734,0.734,0,0.0526,0.266,0.254,0.0127,0,Brique en terre cuite,"Élimination, matériaux de construction, minéral, non spécifique"
02.001.01,555E9A89-95DF-4C98-BC55-879B4C7E4BFE,"Backstein, perlitgefüllt, zzwancor",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",575,kg,420,378,42.5,1.02,0.964,0.964,0,0.0548,0.105,0.103,0.103,0,0.00221,0.914,0.861,0.861,0,0.0526,0.283,0.27,0.0127,0,"Brique en terre cuite, remplie de perlite, zz wancor","Élimination, matériaux de construction, minéral, non spécifique"
02.002,17BF48A3-72AD-4EBB-A2DE-3256129F7031,Kalksandstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1400,kg,258,216,42.5,0.428,0.374,0.374,0,0.0548,0.039,0.0368,0.0368,0,0.00221,0.389,0.337,0.337,0,0.0526,0.162,0.149,0.0127,0,Grès,"Élimination, matériaux de construction, minéral, non spécifique"
02.002.01,564C9F25-EE8A-4799-A049-6D26DF586F05,"Kalksandstein, FBB",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1200-2000,kg,196,153,42.5,0.35,0.295,0.295,0,0.0548,0.0347,0.0325,0.0325,0,0.00221,0.315,0.263,0.263,0,0.0526,0.115,0.102,0.0127,0,"Grès, FBB","Élimination, matériaux de construction, minéral, non spécifique"
