DATE,Hour,Hour2,Month,Day,tintH_set,tintC_set,People,Ve,I_int,w_int,Ealf_nove,Epro,Edata,Qcdata,Qcrefri,Mww,Mw
5/1/2010 15:59,17.00,113,1,3,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 16:59,18.00,114,1,3,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 17:59,19.00,115,1,3,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 18:59,20.00,116,1,3,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
5/1/2010 19:59,21.00,117,1,3,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 20:59,22.00,118,1,3,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 21:59,23.00,119,1,3,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
5/1/2010 22:59,24.00,120,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
5/1/2010 23:59,1.00,121,1,3,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 0:59,2.00,122,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 1:59,3.00,123,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 2:59,4.00,124,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 3:59,5.00,125,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 4:59,6.00,126,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 5:59,7.00,127,1,4,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 6:59,8.00,128,1,4,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
6/1/2010 7:59,9.00,129,1,4,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 8:59,10.00,130,1,4,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 9:59,11.00,131,1,4,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 10:59,12.00,132,1,4,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
