description,code,U_wall,a_wall,e_wall,r_wall,GHG_wall_kgCO2m2,GHG_biogenic_wall_kgCO2m2,Service_Life_wall
TABULA Multi family house 1995 - 2001 Advanced Refurbishment,WALL_MFH_I_AR,0.14,0.3,0.84,0.7,112,0,30
TABULA Multi family house 2002 - 2009 Advanced Refurbishment,WALL_MFH_J_AR,0.14,0.68,0.92,0.31999999999999995,57,0,30
TABULA Multi family house 2010 - 2015 Advanced Refurbishment,WALL_MFH_K_AR,0.12,0.68,0.92,0.31999999999999995,57,0,30
TABULA Multi family house 2016 … Advanced Refurbishment,WALL_MFH_L_AR,0.12,0.68,0.92,0.31999999999999995,57,0,30
TABULA Terraced house 1860 - 1918 Advanced Refurbishment,WALL_TH_B_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Terraced house 1919 - 1948 Advanced Refurbishment,WALL_TH_C_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Terraced house 1949 - 1957 Advanced Refurbishment,WALL_TH_D_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Terraced house 1958 - 1968 Advanced Refurbishment,WALL_TH_E_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Terraced house 1969 - 1978 Advanced Refurbishment,WALL_TH_F_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Terraced house 1979 - 1983 Advanced Refurbishment,WALL_TH_G_AR,0.12,0.3,0.84,0.7,112,0,30
TABULA Terraced house 1984 - 1994 Advanced Refurbishment,WALL_TH_H_AR,0.11,0.3,0.84,0.7,112,0,30
TABULA Terraced house 1995 - 2001 Advanced Refurbishment,WALL_TH_I_AR,0.14,0.68,0.92,0.31999999999999995,57,0,30
TABULA Terraced house 2002 - 2009 Advanced Refurbishment,WALL_TH_J_AR,0.15,0.68,0.92,0.31999999999999995,57,0,30
TABULA Terraced house 2010 - 2015 Advanced Refurbishment,WALL_TH_K_AR,0.12,0.68,0.92,0.31999999999999995,57,0,30
TABULA Terraced house 2016 … Advanced Refurbishment,WALL_TH_L_AR,0.12,0.68,0.92,0.31999999999999995,57,0,30
TABULA Apartment block 1860 - 1918 Advanced Refurbishment,WALL_AB_B_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Apartment block 1919 - 1948 Advanced Refurbishment,WALL_AB_C_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Apartment block 1949 - 1957 Advanced Refurbishment,WALL_AB_D_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Apartment block 1958 - 1968 Advanced Refurbishment,WALL_AB_E_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA Apartment block 1969 - 1978 Advanced Refurbishment,WALL_AB_F_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA High rise 1958 - 1968 Advanced Refurbishment,WALL_HR_E_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA High rise 1969 - 1978 Advanced Refurbishment,WALL_HR_F_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA GDR Multi family house 1949 - 1957,WALL_MFH-EAST_D,1.2,0.6,0.95,0.4,112,0,30
TABULA GDR Multi family house 1958 - 1068,WALL_MFH-EAST_E,1.1,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1969 - 1978,WALL_AB-EAST_F,1.1,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1979 - 1983,WALL_AB-EAST_G,0.9,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1984 - 1994,WALL_AB-EAST_H,0.6,0.6,0.95,0.4,112,0,30
TABULA GDR High rise 1969 - 1978,WALL_HR-EAST_F,1.1,0.6,0.95,0.4,112,0,30
TABULA GDR High rise 1979 - 1983,WALL_HR-EAST_G,0.9,0.6,0.95,0.4,112,0,30
TABULA GDR Multi family house 1949 - 1957 Normal Refurbishment,WALL_MFH-EAST_D_NR,0.23,0.6,0.95,0.4,112,0,30
TABULA GDR Multi family house 1958 - 1968 Normal Refurbishment,WALL_MFH-EAST_E_NR,0.23,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1969 - 1978 Normal Refurbishment,WALL_AB-EAST_F_NR,0.23,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1979 - 1983 Normal Refurbishment,WALL_AB-EAST_G_NR,0.22,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1984 - 1994 Normal Refurbishment,WALL_AB-EAST_H_NR,0.2,0.6,0.95,0.4,112,0,30
TABULA GDR High rise 1969 - 1978 Normal Refurbishment,WALL_HR-EAST_F_NR,0.23,0.6,0.95,0.4,112,0,30
