description,code,U_roof,a_roof,e_roof,r_roof,GHG_roof_kgCO2m2,GHG_biogenic_roof_kgCO2m2,Service_Life_roof
TABULA GDR Apartment block 1979 - 1983 Normal Refurbishment,ROOF_AB-EAST_G_NR,0.17,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1984 - 1994 Normal Refurbishment,ROOF_AB-EAST_H_NR,0.16,0.6,0.94,0.4,112,0,60
TABULA GDR High rise 1969 - 1978 Normal Refurbishment,ROOF_HR-EAST_F_NR,0.19,0.6,0.94,0.4,112,0,60
TABULA GDR High rise 1979 - 1983 Normal Refurbishment,ROOF_HR-EAST_G_NR,0.17,0.6,0.94,0.4,112,0,60
TABULA GDR Multi family house 1949 - 1957 Advanced Refurbishment,ROOF_MFH-EAST_D_AR,0.11,0.6,0.94,0.4,112,0,60
TABULA GDR Multi family house 1958 - 1968 Advanced Refurbishment,ROOF_MFH-EAST_E_AR,0.09,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1969 - 1978 Advanced Refurbishment,ROOF_AB-EAST_F_AR,0.09,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1979 - 1983 Advanced Refurbishment,ROOF_AB-EAST_G_AR,0.09,0.6,0.94,0.4,112,0,60
TABULA GDR Apartment block 1984 - 1994 Advanced Refurbishment,ROOF_AB-EAST_H_AR,0.09,0.6,0.94,0.4,112,0,60
TABULA GDR High rise 1969 - 1978 Advanced Refurbishment,ROOF_HR-EAST_F_AR,0.09,0.6,0.94,0.4,112,0,60
TABULA GDR High rise 1979 - 1983 Advanced Refurbishment,ROOF_HR-EAST_G_AR,0.09,0.6,0.94,0.4,112,0,60
Roof 10,ROOF_BMVBS_A,1.0,0.5,0.8,0.5,112,0,60
Roof 045,ROOF_BMVBS_B,0.45,0.5,0.8,0.5,112,0,60
"IWU Office, Administrative or Government Buildings 1860 - 1978",ROOF_NWG_1_A,0.44,0.55,0.91,0.44999999999999996,112,0,60
"IWU Office, Administrative or Government Buildings 1979 - 2009",ROOF_NWG_1_B,0.46,0.55,0.91,0.44999999999999996,112,0,60
"IWU Office, Administrative or Government Buildings 2010 - 2030",ROOF_NWG_1_C,0.15,0.55,0.91,0.44999999999999996,112,0,60
IWU Research and University Teaching  (2) 1860 - 1978,ROOF_NWG_2_A,0.42,0.55,0.91,0.44999999999999996,112,0,60
IWU Research and University Teaching  (2) 1979 - 2009,ROOF_NWG_2_B,0.14,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Research and University Teaching  (2) 2010 - 2030,ROOF_NWG_2_C,0.14,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Health and Care (3) 1860 - 1978,ROOF_NWG_3_A,0.31,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
