description,code,U_win,G_win,e_win,F_F,GHG_win_kgCO2m2,GHG_biogenic_win_kgCO2m2,Service_Life_win
TABULA GDR High rise 1979 - 1983 Normal Refurbishment,WINDOW_HR-EAST_G_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA GDR Multi family house 1949 - 1957 Advanced Refurbishment,WINDOW_MFH-EAST_D_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR Multi family house 1958 - 1968 Advanced Refurbishment,WINDOW_MFH-EAST_E_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR Apartment block 1969 - 1978 Advanced Refurbishment,WINDOW_AB-EAST_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR Apartment block 1979 - 1983 Advanced Refurbishment,WINDOW_AB-EAST_G_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR Apartment block 1984 - 1994 Advanced Refurbishment,WINDOW_AB-EAST_H_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR High rise 1969 - 1978 Advanced Refurbishment,WINDOW_HR-EAST_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA GDR High rise 1979 - 1983 Advanced Refurbishment,WINDOW_HR-EAST_G_AR,0.8,0.5,0.02,0.3,123,0,30
Window for non residential building typology NWG1,WINDOW_BMVBS_A,2.9,0.87,0.94,0.3,66,0,30
Window for non residential building typology NWG2,WINDOW_BMVBS_B,2.9,0.87,0.94,0.3,66,0,30
Window for non residential building typology NWG3,WINDOW_BMVBS_C,1.9,0.87,0.94,0.3,66,0,30
Window for non residential building typology NWG4,WINDOW_BMVBS_D,1.3,0.87,0.94,0.3,66,0,30
"IWU Büro-, Verwaltungs- oder Amtsgebäude 1860 - 1978",WINDOW_NWG_1_A,2.68,0.75,0.89,0.3,62,0,30
"IWU Büro-, Verwaltungs- oder Amtsgebäude 1979 - 2009",WINDOW_NWG_1_B,1.89,0.75,0.89,0.3,62,0,30
"IWU Büro-, Verwaltungs- oder Amtsgebäude 2010 - 2030",WINDOW_NWG_1_C,1.08,0.67,0.02,0.3,123,0,30
IWU Gebäude für Forschung und Hochschullehre (2) 1860 - 1978,WINDOW_NWG_2_A,3.1,0.75,0.89,0.3,62,0,30
IWU Gebäude für Forschung und Hochschullehre (2) 1979 - 2009,WINDOW_NWG_2_B,1.74,0.75,0.89,0.3,62,0,30
IWU Gebäude für Forschung und Hochschullehre (2) 2010 - 2030,WINDOW_NWG_2_C,1.24,0.67,0.02,0.3,123,0,30
IWU Gebäude für Gesundheit und Pflege (3) 1860 - 1978,WINDOW_NWG_3_A,2.72,0.75,0.89,0.3,62,0,30
IWU Gebäude für Gesundheit und Pflege (3) 1979 - 2009,WINDOW_NWG_3_B,2.24,0.75,0.89,0.3,62,0,30
IWU Gebäude für Gesundheit und Pflege (3)  2010 - 2030,WINDOW_NWG_3_C,1.25,0.67,0.02,0.3,123,0,30
"IWU Schule, Kindertagesstätte und sonstiges Betreuungsgebäude (4) 1860 - 1978",WINDOW_NWG_4_A,2.22,0.75,0.89,0.3,62,0,30
"IWU Schule, Kindertagesstätte und sonstiges Betreuungsgebäude (4) 1979 - 2009",WINDOW_NWG_4_B,2.05,0.75,0.89,0.3,62,0,30
"IWU Schule, Kindertagesstätte und sonstiges Betreuungsgebäude (4)  2010 - 2030",WINDOW_NWG_4_C,1.17,0.67,0.02,0.3,123,0,30
IWU Gebäude für Kultur und Freizeit (5) 1860 - 1978,WINDOW_NWG_5_A,2.56,0.75,0.89,0.3,62,0,30
IWU Gebäude für Kultur und Freizeit (5) 1979 - 2009,WINDOW_NWG_5_B,2.04,0.75,0.89,0.3,62,0,30
IWU Gebäude für Kultur und Freizeit (5) 2010 - 2030,WINDOW_NWG_5_C,0.96,0.67,0.02,0.3,123,0,30
IWU Sportgebäude (6) 1860 - 1978,WINDOW_NWG_6_A,3.09,0.75,0.89,0.3,62,0,30
IWU Sportgebäude (6) 1979 - 2009,WINDOW_NWG_6_B,2.56,0.75,0.89,0.3,62,0,30
IWU Sportgebäude (6) 2010 - 2030,WINDOW_NWG_6_C,1.07,0.67,0.02,0.3,123,0,30
"IWU Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude (7) 1860 - 1978",WINDOW_NWG_7_A,2.76,0.75,0.89,0.3,62,0,30
"IWU Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude (7) 1979 - 2009",WINDOW_NWG_7_B,2.07,0.75,0.89,0.3,62,0,30
"IWU Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude (7) 2010 - 2030",WINDOW_NWG_7_C,1.24,0.67,0.02,0.3,123,0,30
"IWU Produktions-, Werkstatt-, Lager- oder Betriebsgebäude (8) 1860 - 1978",WINDOW_NWG_8_A,2.99,0.75,0.89,0.3,62,0,30
"IWU Produktions-, Werkstatt-, Lager- oder Betriebsgebäude (8) 1979 - 2009",WINDOW_NWG_8_B,2.17,0.75,0.89,0.3,62,0,30
"IWU Produktions-, Werkstatt-, Lager- oder Betriebsgebäude (8) 2010 - 2030",WINDOW_NWG_8_C,1.2,0.67,0.02,0.3,123,0,30
IWU Handelsgebäude (9) 1860 - 1978,WINDOW_NWG_9_A,3.03,0.75,0.89,0.3,62,0,30
IWU Handelsgebäude (9) 1979 - 2009,WINDOW_NWG_9_B,2.1,0.75,0.89,0.3,62,0,30
IWU Handelsgebäude (9) 2010 - 2030,WINDOW_NWG_9_C,1.05,0.67,0.02,0.3,123,0,30
IWU Technikgebäude (Ver- und Entsorgung) (10) 1860 - 1978,WINDOW_NWG_10_A,4.2,0.75,0.89,0.3,62,0,30
IWU Technikgebäude (Ver- und Entsorgung) (10) 1979 - 2009,WINDOW_NWG_10_B,2.02,0.75,0.89,0.3,62,0,30
IWU Technikgebäude (Ver- und Entsorgung) (10) 2010 - 2030,WINDOW_NWG_10_C,1.3,0.67,0.02,0.3,123,0,30
IWU Verkehrsgebäude (11)  1860 - 1978,WINDOW_NWG_11_A,5.0,0.75,0.89,0.3,62,0,30
IWU Verkehrsgebäude (11) 1979 - 2009,WINDOW_NWG_11_B,8.36,0.75,0.89,0.3,62,0,30
IWU Verkehrsgebäude (11) 2010 - 2030,WINDOW_NWG_11_C,1.3,0.67,0.02,0.3,123,0,30
"IWU Generalized (1) Dienstleistungsgebäude, HK_Geb = (1) bis (7) und (9)  1860 - 1978",WINDOW_NWG_G1_A,2.7,0.75,0.89,0.3,62,0,30
"IWU Generalized (1) Dienstleistungsgebäude, HK_Geb = (1) bis (7) und (9) 1979 - 2009",WINDOW_NWG_G1_B,2.04,0.75,0.89,0.3,62,0,30
"IWU Generalized (1) Dienstleistungsgebäude, HK_Geb = (1) bis (7) und (9) 2010 - 2030",WINDOW_NWG_G1_C,1.14,0.67,0.02,0.3,123,0,30
"IWU Generalized (2) Produktions- und ähnliche Gebäude, HK_Geb = (8), (10), (11)  1860 - 1978",WINDOW_NWG_G2_A,3.11,0.75,0.89,0.3,62,0,30
"IWU Generalized (2) Produktions- und ähnliche Gebäude, HK_Geb = (8), (10), (11) 1979 - 2009",WINDOW_NWG_G2_B,2.18,0.75,0.89,0.3,62,0,30
"IWU Generalized (2) Produktions- und ähnliche Gebäude, HK_Geb = (8), (10), (11) 2010 - 2030",WINDOW_NWG_G2_C,1.2,0.67,0.02,0.3,123,0,30
No retrofit,WINDOW_NoRet,2.2,0.2,0.89,0.2,0,0,60
